,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Banda ancha fija,Dial up,Mbps (Media de bajada),Total_conexiones
256,2020,1,Salta,60426,75593,23025,4.125,7.212,170379,2,21,170381
257,2020,1,San Juan,40092,6448,5508,7.082,5.101,63975,256,6,64231
258,2020,1,San Luis,8301,7612,5,58.301,36.333,110404,148,21,110552
259,2020,1,Santa Cruz,12845,15766,1026,6.817,2.368,38625,197,6,38822
260,2020,1,Santa Fe,302366,383673,35123,30.488,19.468,770981,137,22,771118
261,2020,1,Santiago Del Estero,24695,70424,200,2.779,4.657,102754,1,10,102755
262,2020,1,Tierra Del Fuego,12854,25632,0,0.0,308.0,38505,289,7,38794
263,2020,1,Tucumán,143184,10494,44687,1.355,347.0,200045,22,32,200067
264,2019,4,Buenos Aires,720011,2191672,669194,87.111,18.266,3681120,5134,31,3686254
265,2019,4,Capital Federal,196938,1093143,35534,3.914,28.576,1356695,1410,44,1358105
266,2019,4,Catamarca,22999,3318,9506,261.0,2.227,38310,1,25,38311
267,2019,4,Chaco,48661,53602,8831,5.229,1.58,117900,3,23,117903
268,2019,4,Chubut,47045,26977,1324,15.267,5.489,95292,810,7,96102
269,2019,4,Córdoba,296872,410038,53335,37.75,8.693,806633,55,26,806688
270,2019,4,Corrientes,52525,51845,2002,2.458,5.004,113831,3,19,113834
271,2019,4,Entre Ríos,92981,99206,12875,18.561,15.407,239017,13,17,239030
272,2019,4,Formosa,21567,8684,1760,14.531,169.0,46711,0,15,46711
273,2019,4,Jujuy,32949,37604,873,814.0,16.641,88881,0,13,88881
274,2019,4,La Pampa,15457,56854,4942,11.341,1.805,90280,119,7,90399
275,2019,4,La Rioja,13738,34984,0,251.0,29.0,48999,3,8,49002
276,2019,4,Mendoza,96678,49711,24989,13.672,730.0,185157,623,8,185780
277,2019,4,Misiones,53116,69676,847,441.0,11.733,135813,0,20,135813
278,2019,4,Neuquén,29826,60970,10549,14.246,854.0,116069,376,26,116445
279,2019,4,Río Negro,49747,37933,9658,11.437,18.365,126636,504,17,127140
280,2019,4,Salta,63272,76062,21865,3.04,8.206,172443,2,19,172445
281,2019,4,San Juan,41360,6338,4931,7.241,5.104,64715,259,6,64974
282,2019,4,San Luis,8569,8027,6,55.266,36.333,108053,148,21,108201
283,2019,4,Santa Cruz,13264,15899,1036,6.8,2.371,39170,200,5,39370
284,2019,4,Santa Fe,312072,382254,27464,26.978,20.401,769019,150,21,769169
285,2019,4,Santiago Del Estero,24682,71239,200,2.81,4.657,103587,1,10,103588
