Año,Trimestre,Provincia,Correo oficial  + Correos Privados (en Pesos),Correo oficial + Correos Privados (en Unidades)
2018,3,Santa Cruz,30380513.42,405582
2018,3,Santa Fe,388347377.1,10449314.8
2018,3,Santiago del Estero,50608926.02,2814495.896
2018,3,Tierra del Fuego,20085629.21,359411.2326
2018,3,Tucumán,87876247.35,3709272.089
2018,2,Buenos Aires,1194519397,55133606
2018,2,Capital Federal y GBA,4142707895,144886744
2018,2,Catamarca,23940196.87,696700
2018,2,Chaco,73941609.9,4012149
2018,2,Chubut,59877014.56,1381489
2018,2,Córdoba,374537358.5,17429201
2018,2,Corrientes,41034493.39,1237230
2018,2,Entre Ríos,95123979.61,2654511
2018,2,Formosa,30866044.5,947320
2018,2,Jujuy,33615255.71,1490417
2018,2,La Pampa,36599610.49,1210147
2018,2,La Rioja,19249426.64,402966
2018,2,Mendoza,155229605.5,7607283
2018,2,Misiones,56541360.47,658690
2018,2,Neuquén,70579129.09,2100157
2018,2,Rio Negro,57630899.57,1561230
2018,2,Salta,60564902.94,1652590
2018,2,San Juan,27826687.3,1433315
2018,2,San Luis,26145175,894701
2018,2,Santa Cruz,30190012.68,420543
2018,2,Santa Fe,376555183.2,11698740
2018,2,Santiago del Estero,46342609.61,2861141
2018,2,Tierra del Fuego,17276528.06,337259
2018,2,Tucumán,83016579.15,3752417
2018,1,Buenos Aires,1135620294,66543456
2018,1,Capital Federal,4008293829,147675321
2018,1,Catamarca,20019470.87,714380
2018,1,Chaco,68817050.37,4051236
2018,1,Chubut,56713793.1,1573504
2018,1,Córdoba,432968026.2,16982603
2018,1,Corrientes,31831129.3,1172304
2018,1,Entre Ríos,77166916.85,2622859
2018,1,Formosa,27440369.41,1080862
2018,1,Jujuy,24630487.71,1503337
2018,1,La Pampa,30438649.09,1250891
2018,1,La Rioja,18788213.24,581155
2018,1,Mendoza,155746441.9,5875945
2018,1,Misiones,49046536.79,563106
2018,1,Neuquén,62458582.54,2777213
2018,1,Río Negro,52900966.07,1986306
2018,1,Salta,49111358.7,1744816
2018,1,San Juan,29186649.48,1692635
2018,1,San Luis,24937172.91,498407
2018,1,Santa Cruz,27381281.79,526186
2018,1,Santa Fe,357929505.8,10822399
2018,1,Santiago del Estero,40010941.89,2800461
2018,1,Tierra del Fuego,19029656.83,550806
2018,1,Tucumán,75247640.02,3567768
2017,4,Buenos Aires,1083543720,58015145
2017,4,Capital Federal,3979411306,151551946
2017,4,Catamarca,23274775.17,723076
2017,4,Chaco,66364956.32,3921882
2017,4,Chubut,60741643.77,1826531
2017,4,Córdoba,336833306.6,15593171
2017,4,Corrientes,33871082.33,1179161
2017,4,Entre Ríos,72916244.21,2586952
2017,4,Formosa,27808304.21,1086562
2017,4,Jujuy,23036841,1431740
2017,4,La Pampa,27159917.75,1171287
2017,4,La Rioja,14723280.92,425917
2017,4,Mendoza,109824828.4,4513959
2017,4,Misiones,40860092.91,594773
2017,4,Neuquén,69955694.74,2330076
2017,4,Río Negro,73254653.59,2016416
2017,4,Salta,46794211.5,1767629
2017,4,San Juan,25183851.12,1490017
2017,4,San Luis,19440816.16,497842
2017,4,Santa Cruz,31858891.82,499495
2017,4,Santa Fe,335148113.5,9740615
2017,4,Santiago del Estero,36677447.35,2789994
2017,4,Tierra del Fuego,19080098.66,415127
2017,4,Tucumán,64682163.72,3549250
2017,3,Buenos Aires,1189720748,65417037
2017,3,Capital Federal,3619999281,156208670
2017,3,Catamarca,23208053.24,768643
2017,3,Chaco,66682123.66,3866462
2017,3,Chubut,58570324.73,1540995
2017,3,Córdoba,352737749.1,16578978
2017,3,Corrientes,43777773.25,1311588
2017,3,Entre Ríos,73936569.07,2700342
2017,3,Formosa,30079846.58,1363223
2017,3,Jujuy,20319415.19,1264297
2017,3,La Pampa,27350526.96,2570785
2017,3,La Rioja,17882415.03,602573
2017,3,Mendoza,120027913.6,6165359
2017,3,Misiones,51451646.2,675022
2017,3,Neuquén,59354108.86,2214634
2017,3,Río Negro,75076827.65,1778988
2017,3,Salta,42916283.46,1356321
2017,3,San Juan,30501994.25,1784356
2017,3,San Luis,25388085.55,996282
2017,3,Santa Cruz,27580882.26,446378
2017,3,Santa Fe,333679027,10654470
2017,3,Santiago del Estero,36872519.36,2310792
2017,3,Tierra del Fuego,22315568.71,505709
2017,3,Tucumán,76331337.06,4224762
2017,2,Buenos Aires,958891642.1,59308770
2017,2,Capital Federal,3673895124,163891623
2017,2,Catamarca,22692951.32,826549
2017,2,Chaco,59527103.65,3477390
2017,2,Chubut,55289999.68,1532656
2017,2,Córdoba,307256151,14100357
2017,2,Corrientes,35345590.85,1474800
2017,2,Entre Ríos,71943598.26,3358919
2017,2,Formosa,22501674.57,907396
2017,2,Jujuy,20286259.82,1289260
2017,2,La Pampa,24679663.43,2182016
2017,2,La Rioja,15200053.8,462776
2017,2,Mendoza,127555318.1,7555593
2017,2,Misiones,48623874.14,730499
2017,2,Neuquén,59494459.68,2405433
2017,2,Río Negro,65863722.28,2078245
2017,2,Salta,51311169.39,1497736
2017,2,San Juan,24572175.63,1600281
2017,2,San Luis,23493142.25,998206
2017,2,Santa Cruz,27088859.06,457506
2017,2,Santa Fe,324975413.9,11406920
2017,2,Santiago del Estero,33947554.8,2863675
2017,2,Tierra del Fuego,20021889.98,473738
2017,2,Tucumán,73299812.23,4485752
2017,1,Buenos Aires,962789015,64372891
2017,1,Capital Federal,3292784105,163888601
2017,1,Catamarca,13990556.98,684062
2017,1,Chaco,52865419.35,3331458
2017,1,Chubut,51485580.82,1773551
2017,1,Córdoba,319060909.6,16209797
2017,1,Corrientes,27465489.78,1274279
2017,1,Entre Ríos,65532274.08,3293483
2017,1,Formosa,19404285.66,899164
2017,1,Jujuy,16969410.45,1404308
2017,1,La Pampa,22335685.3,2766396
2017,1,La Rioja,13656995.02,563048
2017,1,Mendoza,122716703.4,7464489
2017,1,Misiones,38211809.25,678185
2017,1,Neuquén,53632477.84,2841919
2017,1,Río Negro,44407593.1,1787577
2017,1,Salta,39662178.8,1369258
2017,1,San Juan,24768828.14,1939533
2017,1,San Luis,21478100.65,1008070
2017,1,Santa Cruz,21706528.93,527292
2017,1,Santa Fe,291886868.8,12124621
2017,1,Santiago del Estero,23975394.43,1998279
2017,1,Tierra del Fuego,15456568.82,523959
2017,1,Tucumán,63358729.72,4022200
2016,4,Buenos Aires,796910476.1,53348359
2016,4,Capital Federal,3552801731,171833933
2016,4,Catamarca,14678182.97,706249
2016,4,Chaco,50440326.46,3576101
2016,4,Chubut,53745724.86,2231926
2016,4,Córdoba,337495103.6,16392537
2016,4,Corrientes,27020292.22,1259467
2016,4,Entre Ríos,70961735.42,3479789
2016,4,Formosa,19602749.16,1063990
2016,4,Jujuy,16256529.2,1356139
2016,4,La Pampa,21534707.49,2569787
2016,4,La Rioja,12502814.21,441307
2016,4,Mendoza,106462966.6,6876780
2016,4,Misiones,38215640.74,727397
2016,4,Neuquén,56274698.99,2870148
2016,4,Río Negro,44818647.58,1999995
2016,4,Salta,37680611.7,1456380
2016,4,San Juan,18201879.8,836616
2016,4,San Luis,18286467.97,1046348
2016,4,Santa Cruz,23116202.74,598335
2016,4,Santa Fe,289873608,11604885
2016,4,Santiago del Estero,34253731.1,3120652
2016,4,Tierra del Fuego,15111487.77,594641
2016,4,Tucumán,70427672.96,5235236
2016,3,Buenos Aires,667826254.5,56316752
2016,3,Capital Federal,3183055371,170794423
2016,3,Catamarca,14140687.55,594587
2016,3,Chaco,48658808.52,3999391
2016,3,Chubut,49256957.03,1780453
2016,3,Córdoba,280542782.8,16284111
2016,3,Corrientes,29312264.1,1394564
2016,3,Entre Ríos,58908212.18,3160613
2016,3,Formosa,17762654.66,1213420
2016,3,Jujuy,15744017.05,1342383
2016,3,La Pampa,23841286.06,2531532
2016,3,La Rioja,12398246.23,513036
2016,3,Mendoza,84169206,5874590
2016,3,Misiones,33178996.51,750639
2016,3,Neuquén,54118794.86,2566628
2016,3,Río Negro,35853488.9,1700035
2016,3,Salta,34030045.02,1295999
2016,3,San Juan,23659970.17,1100067
2016,3,San Luis,17824264.59,955985
2016,3,Santa Cruz,22698514.57,547842
2016,3,Santa Fe,255363810,11345682
2016,3,Santiago del Estero,29709094.6,3375627
2016,3,Tierra del Fuego,15166799.29,457349
2016,3,Tucumán,64024718.15,4967940
2016,2,Buenos Aires,522982309.4,56327508
2016,2,Capital Federal,3131129287,186742815
2016,2,Catamarca,11653463.94,577008
2016,2,Chaco,43659020.39,4036761
2016,2,Chubut,47993987.47,2079627
2016,2,Córdoba,276556857.9,19276170
2016,2,Corrientes,27697939.86,1537272
2016,2,Entre Ríos,59848706.07,3454823
2016,2,Formosa,14132555.84,969308
2016,2,Jujuy,15756074.8,1306378
2016,2,La Pampa,19409187.35,2683193
2016,2,La Rioja,10604940.03,466339
2016,2,Mendoza,82694423.64,5965326
2016,2,Misiones,27107811.16,781492
2016,2,Neuquén,45934361.39,2674472
2016,2,Río Negro,32028474.34,1737031
2016,2,Salta,30024508.39,1391059
2016,2,San Juan,22005304.86,1377513
2016,2,San Luis,14692403.45,999065
2016,2,Santa Cruz,21391828.71,585415
2016,2,Santa Fe,253955774.5,12231572
2016,2,Santiago del Estero,23379167.78,3125040
2016,2,Tierra del Fuego,13821631.7,586117
2016,2,Tucumán,54216058.9,4924069
2016,1,Buenos Aires,559529145.8,58433871
2016,1,Capital Federal,2618265638,162510798
2016,1,Catamarca,11201194.76,571776
2016,1,Chaco,36510342.41,3655979
2016,1,Chubut,43886247.81,1937417
2016,1,Córdoba,244940504.6,20293917
2016,1,Corrientes,19597084.89,1345857
2016,1,Entre Ríos,50217919.6,3114431
2016,1,Formosa,15044748.53,701718
2016,1,Jujuy,11506326.98,1694033
2016,1,La Pampa,18398763.82,2706151
2016,1,La Rioja,11298504.12,590953
2016,1,Mendoza,87840011.94,7338427
2016,1,Misiones,22152677.47,2476215
2016,1,Neuquén,43052101.72,2598461
2016,1,Río Negro,31612871.14,1628255
2016,1,Salta,21684015.04,2039304
2016,1,San Juan,18313528.39,1390042
2016,1,San Luis,15286773.96,1018631
2016,1,Santa Cruz,19704359.32,628793
2016,1,Santa Fe,201108100.2,12354263
2016,1,Santiago del Estero,17984134.53,2332327
2016,1,Tierra del Fuego,13232275.44,608131
2016,1,Tucumán,48685511.19,5434454
2015,4,Buenos Aires,455061299.5,42879104
2015,4,Capital Federal,3013617439,174242649
2015,4,Catamarca,11049798.12,570925
2015,4,Chaco,42615380.28,4545267
